iter	RMSE
0	72376.40507
1	67833.43816
2	63721.29463
3	59864.92014
4	56192.73691
5	52879.63419
6	49882.26696
7	47119.90867
8	44364.00026
9	41880.35857
10	39805.76501
11	37676.54879
12	35751.90745
13	34085.02241
14	32402.14035
15	30888.96638
16	29368.08419
17	28104.56049
18	26821.41499
19	25647.26441
20	24636.87458
21	23669.93757
22	22721.77892
23	21956.02023
24	21231.99097
25	20402.68195
26	19747.19595
27	19155.73253
28	18444.39133
29	17860.10485
30	17371.33831
31	16862.90998
32	16432.02139
33	15991.02121
34	15637.29385
35	15303.94111
36	14862.54419
37	14549.05693
38	14211.39009
39	13840.01264
40	13434.25554
41	13036.00436
42	12802.1047
43	12546.37924
44	12318.18413
45	11964.04664
46	11756.36334
47	11597.93439
48	11354.63171
49	11127.0942
50	10947.67004
51	10754.74283
52	10555.98973
53	10386.34323
54	10232.27664
55	10057.21732
56	9919.013201
57	9722.125754
58	9596.987842
59	9491.490619
60	9384.478656
61	9256.290682
62	9118.198166
63	9007.336829
64	8875.312771
65	8777.010756
66	8679.101019
67	8566.732562
68	8413.658191
69	8273.656321
70	8160.456185
71	8085.657606
72	7968.415056
73	7847.767034
74	7773.216853
75	7644.158705
76	7540.987045
77	7462.547305
78	7364.046358
79	7281.010231
80	7226.208767
81	7137.156843
82	7032.100076
83	6907.869197
84	6833.999377
85	6786.520943
86	6723.293011
87	6680.583793
88	6558.258284
89	6504.556982
90	6425.20167
91	6359.941482
92	6266.464386
93	6155.250603
94	6094.385076
95	6007.51937
96	5925.971267
97	5855.62102
98	5801.569979
99	5715.564199
100	5636.918794
101	5514.812012
102	5431.46479
103	5368.499561
104	5299.059589
105	5232.747436
106	5156.254382
107	5092.667968
108	5030.771462
109	4972.772393
110	4930.13773
111	4864.38075
112	4796.382372
113	4737.143467
114	4662.124348
115	4576.864149
116	4520.258689
117	4478.216326
118	4398.146285
119	4326.975177
120	4271.718826
121	4207.110968
122	4146.056613
123	4103.275782
124	4028.647083
125	3983.520884
126	3931.475935
127	3874.666943
128	3817.799623
129	3754.496237
130	3672.542532
131	3617.696516
132	3573.532616
133	3509.663526
134	3483.772075
135	3444.792966
136	3368.679553
137	3334.676505
138	3278.493533
139	3220.289913
140	3175.734702
141	3118.480854
142	3051.270962
143	2997.703562
144	2959.837846
145	2916.641353
146	2885.465998
147	2850.462558
148	2811.098802
149	2766.133668
150	2723.979602
151	2697.567054
152	2651.500611
153	2605.797238
154	2578.874784
155	2562.360802
156	2509.48135
157	2468.268733
158	2441.471901
159	2397.044242
160	2370.541871
161	2343.641212
162	2304.332031
163	2275.160873
164	2230.385219
165	2186.836308
166	2145.405773
167	2104.841131
168	2073.383205
169	2042.358357
170	2015.348849
171	1982.006705
172	1955.780029
173	1933.771875
174	1915.777706
175	1899.236073
176	1861.193458
177	1840.703836
178	1822.928847
179	1805.78359
180	1788.485764
181	1771.387039
182	1747.625091
183	1724.742941
184	1705.280128
185	1680.430725
186	1665.261671
187	1636.539866
188	1616.536344
189	1591.913482
190	1582.607292
191	1567.925525
192	1557.178474
193	1524.575336
194	1500.201955
195	1478.939868
196	1466.584307
197	1458.458178
198	1432.421805
199	1414.656178
200	1400.605564
201	1384.479509
202	1376.431987
203	1347.329408
204	1333.565634
205	1316.136858
206	1301.565572
207	1292.226699
208	1275.390015
209	1257.625587
210	1246.344538
211	1230.633433
212	1213.017558
213	1199.042492
214	1182.669304
215	1170.590381
216	1161.08471
