iter	Passed	Remaining
0	14	7035
1	30	7241
2	45	7060
3	60	7050
4	73	6836
5	87	6771
6	100	6663
7	110	6417
8	120	6174
9	129	5985
10	139	5846
11	149	5708
12	159	5614
13	169	5518
14	179	5447
15	189	5393
16	199	5317
17	209	5263
18	219	5224
19	231	5221
20	241	5169
21	250	5105
22	260	5078
23	270	5039
24	279	4994
25	289	4958
26	299	4919
27	309	4894
28	318	4853
29	328	4828
30	338	4809
31	348	4780
32	358	4761
33	368	4740
34	377	4707
35	386	4668
36	395	4641
37	405	4615
38	413	4582
39	422	4553
40	431	4529
41	441	4506
42	450	4482
43	459	4454
44	467	4424
45	476	4403
46	486	4389
47	494	4357
48	505	4350
49	513	4325
50	522	4299
51	529	4270
52	539	4258
53	548	4236
54	558	4224
55	568	4209
56	577	4191
57	586	4175
58	595	4161
59	605	4147
60	613	4121
61	623	4111
62	631	4092
63	641	4076
64	650	4060
65	660	4050
66	670	4040
67	678	4021
68	686	4002
69	697	3992
70	705	3976
71	715	3963
72	725	3953
73	734	3941
74	744	3930
75	753	3918
76	763	3905
77	771	3889
78	781	3879
79	789	3860
80	798	3845
81	808	3834
82	818	3825
83	827	3811
84	835	3795
85	845	3786
86	855	3775
87	866	3769
88	874	3754
89	883	3740
90	893	3730
91	903	3723
92	912	3710
93	922	3698
94	931	3688
95	942	3682
96	953	3678
97	1012	3853
98	1026	3858
99	1037	3850
100	1048	3841
101	1059	3832
102	1071	3827
103	1082	3819
104	1094	3813
105	1104	3802
106	1114	3790
107	1123	3776
108	1133	3765
109	1143	3752
110	1153	3741
111	1164	3733
112	1174	3719
113	1184	3710
114	1194	3698
115	1204	3685
116	1214	3674
117	1224	3662
118	1233	3649
119	1242	3634
120	1251	3620
121	1260	3607
122	1270	3594
123	1280	3582
124	1290	3571
125	1299	3559
126	1309	3546
127	1319	3536
128	1330	3526
129	1341	3518
130	1351	3507
131	1360	3494
132	1376	3496
133	1391	3499
134	1409	3508
135	1427	3516
136	1452	3541
137	1466	3538
138	1477	3528
139	1486	3514
140	1497	3504
141	1507	3492
142	1518	3483
143	1528	3470
144	1538	3459
145	1548	3446
146	1558	3434
147	1567	3421
148	1578	3411
149	1588	3398
150	1597	3385
151	1606	3372
152	1617	3362
153	1628	3352
154	1637	3339
155	1647	3326
156	1657	3315
157	1668	3304
158	1678	3293
159	1689	3284
160	1699	3271
161	1707	3257
162	1718	3247
163	1728	3236
164	1740	3227
165	1752	3219
166	1761	3205
167	1772	3196
168	1781	3184
169	1791	3171
170	1802	3161
171	1812	3151
172	1821	3138
173	1830	3123
174	1839	3111
175	1850	3100
176	1861	3091
177	1871	3080
178	1883	3071
179	1893	3061
180	1903	3049
181	1914	3039
182	1923	3027
183	1934	3017
184	1944	3006
185	1954	2994
186	1963	2981
187	1973	2970
188	1982	2958
189	1993	2948
190	2004	2937
191	2013	2926
192	2023	2914
193	2032	2902
194	2043	2892
195	2053	2880
196	2062	2868
197	2072	2858
198	2082	2847
199	2092	2834
200	2102	2823
201	2111	2811
202	2120	2799
203	2130	2788
204	2139	2776
205	2149	2765
206	2158	2753
207	2168	2742
208	2178	2730
209	2187	2718
210	2196	2707
211	2205	2695
212	2214	2682
213	2223	2670
214	2232	2658
215	2241	2646
216	2251	2635
217	2260	2622
218	2269	2611
219	2278	2599
220	2289	2589
221	2299	2579
222	2309	2568
223	2317	2555
224	2326	2543
225	2336	2532
226	2344	2520
227	2354	2509
228	2362	2497
229	2371	2484
230	2376	2469
231	2386	2458
232	2395	2446
233	2403	2434
234	2412	2422
235	2422	2412
236	2432	2401
237	2441	2390
238	2449	2377
239	2459	2366
240	2468	2355
241	2476	2343
242	2485	2332
243	2495	2321
244	2504	2310
245	2515	2300
246	2524	2289
247	2532	2277
248	2541	2265
249	2550	2254
250	2559	2243
251	2568	2232
252	2578	2221
253	2587	2210
254	2596	2199
255	2604	2187
256	2613	2176
257	2623	2165
258	2633	2155
259	2642	2144
260	2651	2133
261	2661	2122
262	2669	2111
263	2677	2099
264	2688	2089
265	2697	2079
266	2706	2067
267	2715	2056
268	2724	2045
269	2733	2034
270	2742	2024
271	2752	2013
272	2761	2002
273	2771	1992
274	2779	1981
275	2790	1971
276	2799	1960
277	2808	1949
278	2818	1939
279	2827	1928
280	2836	1917
281	2845	1906
282	2854	1895
283	2863	1885
284	2872	1874
285	2880	1863
286	2889	1852
287	2890	1836
288	2901	1827
289	2912	1817
290	2922	1807
291	2931	1797
292	2941	1786
293	2950	1776
294	2959	1765
295	2968	1755
296	2978	1744
297	2987	1734
298	2996	1723
299	3006	1713
300	3014	1702
301	3023	1692
302	3033	1681
303	3041	1671
304	3052	1661
305	3061	1650
306	3070	1640
307	3080	1630
308	3090	1620
309	3100	1610
310	3110	1600
311	3119	1589
312	3128	1579
313	3137	1568
314	3147	1558
315	3157	1548
316	3165	1538
317	3174	1527
318	3184	1517
319	3193	1507
320	3203	1496
321	3208	1484
322	3217	1474
323	3225	1463
324	3235	1453
325	3245	1443
326	3254	1433
327	3264	1423
328	3273	1413
329	3282	1402
330	3292	1392
331	3301	1382
332	3311	1372
333	3320	1361
334	3321	1348
335	3330	1338
336	3340	1328
337	3349	1318
338	3359	1307
339	3369	1298
340	3378	1287
341	3387	1277
342	3397	1267
343	3406	1257
344	3415	1247
345	3424	1237
346	3435	1227
347	3444	1217
348	3454	1207
349	3463	1197
350	3473	1187
351	3484	1177
352	3493	1167
353	3501	1157
354	3511	1147
355	3520	1137
356	3531	1127
357	3539	1117
358	3551	1107
359	3560	1097
360	3569	1087
361	3580	1078
362	3589	1067
363	3598	1057
364	3607	1047
365	3615	1037
366	3625	1027
367	3634	1017
368	3644	1007
369	3654	997
370	3663	987
371	3673	977
372	3682	967
373	3690	957
374	3700	947
375	3710	937
376	3719	927
377	3727	917
378	3737	907
379	3747	897
380	3758	887
381	3767	877
